Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,D66,GL,SGP,GPV,RPF,CD,SP,De Groenen,Vrouwenpartij,Bejaarden Centraal,VCN: partij van communisten in Nederland,Realisten Nederland,Socialistische Arbeiderspartij,Anti Werkloosheid Partij,Politieke Partij voor Ouderen,Vooruitstrevende Minderheden Partij,Partij Democratisch Socialisten,Socialistische Minderheden Partij,Humanistische Partij,Milieu Defensie Partij 2000+,Grote Alliance Partij,Staatkundige Federatie
10600,252,Heumen,8448,3,"0,04 %",9952,8451,"84,92 %",4175,2039,1101,742,291,3,15,7,15,15,25,12,0,0,4,1,0,2,1,0,0,0,0,0,0
10307,797,Heusden,3187,14,"0,44 %",4029,3201,"79,45 %",1375,905,400,251,104,48,6,18,38,19,13,4,0,0,1,3,0,0,2,0,0,0,0,0,0
10840,920,Heythuysen,3603,10,"0,28 %",4451,3613,"81,17 %",2163,743,362,215,83,6,5,5,5,1,4,3,3,0,1,2,1,0,1,0,0,0,0,0,0
11236,534,Hillegom,12191,26,"0,21 %",14942,12217,"81,76 %",5688,2517,2351,933,395,59,54,49,55,14,41,18,8,1,1,1,4,0,1,0,1,0,0,0,0
11297,798,Hilvarenbeek,6194,35,"0,57 %",7388,6229,"84,31 %",3117,1576,767,455,206,1,12,7,18,6,13,4,0,4,1,6,0,0,1,0,0,0,0,0,0
11285,402,Hilversum,52778,149,"0,28 %",66745,52927,"79,30 %",15498,16386,10621,5000,2302,484,601,442,482,304,287,67,138,43,30,27,19,30,10,0,7,0,0,0,0
11358,253,Hoevelaken,5351,7,"0,13 %",6104,5358,"87,78 %",2058,983,1148,452,123,366,130,53,14,1,13,5,3,0,1,1,0,0,0,0,0,0,0,0,0
10065,799,Hoeven,4898,18,"0,37 %",6260,4916,"78,53 %",2248,1395,772,321,75,3,12,13,26,8,13,5,0,1,0,4,0,0,2,0,0,0,0,0,0
11246,165,Holten,6384,23,"0,36 %",6828,6407,"93,83 %",2697,1739,1290,418,80,31,37,44,23,1,7,3,2,0,5,1,3,3,0,0,0,0,0,0,0
11123,675,Hontenisse,4930,11,"0,22 %",5890,4941,"83,89 %",2376,1623,548,205,99,5,6,20,14,2,11,11,0,1,5,2,2,0,0,0,0,0,0,0,0
10476,801,Hooge en Lage Mierde,2456,2,"0,08 %",2741,2458,"89,68 %",1718,384,187,91,50,1,3,1,0,7,8,3,1,0,0,1,1,0,0,0,0,0,0,0,0
